B 2, D 2, R 2, U 1
L 2, D 2, L 2, F 1
D 2, L 2, D 2, F 1
B 2, D 2, R 2, F 2
D 3, L 2, D 2, F 1
B 2, D 2, L 2, B 2
R 2, D 3, L 2, B 1
B 2, D 3, R 2, F 1
L 2, D 3, L 2, B 1
L 3, D 3, R 2, F 1
R 3, D 3, F 2, L 1
R 3, D 3, R 2, F 1
B 2, D 3, L 2, U 1
B 2, D 3, R 2, F 1
B 2, D 3, L 2, D 1
B 2, D 3, L 2, U 2
D 3, B 2, L 3, U 1
B 2, D 3, R 2, D 2
B 2, D 3, R 3, F 1
B 2, D 3, L 3, F 1
B 2, D 3, L 3, D 1
B 2, D 3, L 3, U 2
B 3, D 3, R 3, F 1
B 2, D 3, L 3, D 2
D 3, B 2, R 2, U 1
D 3, B 2, R 2, F 1
B 3, D 2, L 2, D 1
B 3, D 2, R 2, U 2
B 3, D 2, L 2, F 2
B 3, D 2, L 2, D 2
L 2, D 3, R 2, F 2
B 2, D 3, R 2, F 2
R 2, D 3, R 2, F 2
B 2, D 3, R 2, B 2
R 3, D 3, L 2, B 2
F 3, D 3, L 2, B 2
L 3, D 3, L 2, B 2
B 3, D 3, L 2, U 1
B 3, D 3, L 2, F 1
D 2, B 2, D 3, L 2
B 3, D 3, R 2, U 2
B 3, D 3, L 2, F 2
D 3, B 2, D 3, L 2
B 3, D 3, L 3, U 1
B 3, D 3, L 3, F 1
B 3, D 3, L 3, D 1
B 3, D 3, L 3, F 2
D 2, L 3, D 3, F 2
