subject_num,age,gender,trial_num,condition,angle,time,response,expected_answer,correct
1,31,M,1.0,R2_3_3_2_0Y0.pct,0.0,1355.0,[n],[n],1
1,31,M,2.0,R3_4_3_2_90Y150.pct,150.0,2079.0,[n],[n],1
1,31,M,3.0,2_4_4_2_0Y150.pct,150.0,1834.0,[b],[b],1
1,31,M,4.0,3_3_3_2_0Y100.pct,100.0,4780.0,[b],[b],1
1,31,M,5.0,3_3_3_3_90Y50.pct,50.0,1685.0,[b],[b],1
1,31,M,6.0,R2_4_4_2_0Y50.pct,50.0,1237.0,[n],[n],1
1,31,M,7.0,R3_3_3_3_90Y100.pct,100.0,2961.0,[n],[n],1
1,31,M,8.0,2_3_3_2_0Y0.pct,0.0,1275.0,[b],[b],1
1,31,M,9.0,R3_4_3_3_180Y150.pct,150.0,4716.0,[n],[n],1
1,31,M,10.0,2_4_4_2_180Y150.pct,150.0,3794.0,[n],[b],0
1,31,M,11.0,R3_3_4_2_0Y50.pct,50.0,2238.0,[n],[n],1
1,31,M,12.0,R2_3_4_2_90Y0.pct,0.0,1524.0,[n],[n],1
1,31,M,13.0,3_3_3_3_180Y0.pct,0.0,964.0,[b],[b],1
1,31,M,14.0,R3_4_3_3_180Y100.pct,100.0,3770.0,[n],[n],1
1,31,M,15.0,2_4_4_3_90Y100.pct,100.0,2750.0,[b],[b],1
1,31,M,16.0,3_4_3_2_90Y50.pct,50.0,1226.0,[b],[b],1
1,31,M,17.0,R2_4_4_3_90Y100.pct,100.0,1789.0,[n],[n],1
1,31,M,18.0,2_3_3_2_0Y150.pct,150.0,1384.0,[b],[b],1
1,31,M,19.0,R2_3_4_2_90Y50.pct,50.0,2548.0,[n],[n],1
1,31,M,20.0,2_3_4_2_90Y50.pct,50.0,1588.0,[b],[b],1
1,31,M,21.0,R2_4_4_2_180Y100.pct,100.0,2114.0,[n],[n],1
1,31,M,22.0,R2_4_4_2_0Y0.pct,0.0,2158.0,[n],[n],1
1,31,M,23.0,3_4_3_2_90Y0.pct,0.0,1096.0,[b],[b],1
1,31,M,24.0,R3_3_3_2_0Y150.pct,150.0,3829.0,[n],[n],1
1,31,M,25.0,R3_4_4_3_180Y150.pct,150.0,4725.0,[n],[n],1
1,31,M,26.0,R3_4_3_3_180Y50.pct,50.0,3211.0,[n],[n],1
1,31,M,27.0,3_4_3_3_180Y50.pct,50.0,1541.0,[b],[b],1
1,31,M,28.0,3_3_3_3_90Y100.pct,100.0,3219.0,[b],[b],1
1,31,M,29.0,2_4_4_2_180Y0.pct,0.0,1421.0,[b],[b],1
1,31,M,30.0,R3_4_3_2_90Y0.pct,0.0,1308.0,[n],[n],1
1,31,M,31.0,3_3_4_2_0Y150.pct,150.0,3781.0,[b],[b],1
1,31,M,32.0,R3_3_4_2_0Y100.pct,100.0,2665.0,[n],[n],1
1,31,M,33.0,3_3_3_3_180Y50.pct,50.0,1831.0,[n],[b],0
1,31,M,34.0,3_3_4_2_0Y100.pct,100.0,4636.0,[b],[b],1
1,31,M,35.0,3_4_4_3_180Y150.pct,150.0,3149.0,[b],[b],1
1,31,M,36.0,R3_3_3_3_180Y0.pct,0.0,1202.0,[n],[n],1
1,31,M,37.0,3_4_3_3_180Y100.pct,100.0,2735.0,[b],[b],1
1,31,M,38.0,R3_3_3_3_180Y150.pct,150.0,3211.0,[n],[n],1
1,31,M,39.0,3_4_3_3_180Y0.pct,0.0,1406.0,[b],[b],1
1,31,M,40.0,R3_3_3_3_90Y50.pct,50.0,1383.0,[n],[n],1
1,31,M,41.0,2_4_4_3_90Y150.pct,150.0,2668.0,[b],[b],1
1,31,M,42.0,R3_4_3_3_180Y0.pct,0.0,2203.0,[n],[n],1
1,31,M,43.0,3_3_3_3_180Y100.pct,100.0,5983.0,[n],[b],0
1,31,M,44.0,R2_3_4_2_90Y150.pct,150.0,2750.0,[b],[n],0
1,31,M,45.0,R2_3_3_2_0Y50.pct,50.0,2672.0,[n],[n],1
1,31,M,46.0,R2_3_4_2_90Y100.pct,100.0,1975.0,[n],[n],1
1,31,M,47.0,3_4_4_3_180Y0.pct,0.0,1081.0,[b],[b],1
1,31,M,48.0,3_4_4_3_180Y50.pct,50.0,2144.0,[n],[b],0
1,31,M,49.0,R2_4_4_2_0Y100.pct,100.0,2113.0,[n],[n],1
1,31,M,50.0,R2_3_3_2_0Y150.pct,150.0,1967.0,[n],[n],1
1,31,M,51.0,3_3_4_2_0Y0.pct,0.0,917.0,[b],[b],1
1,31,M,52.0,R2_4_4_3_90Y0.pct,0.0,1510.0,[n],[n],1
1,31,M,53.0,3_4_4_3_180Y100.pct,100.0,3031.0,[b],[b],1
1,31,M,54.0,R2_4_4_2_180Y50.pct,50.0,1181.0,[n],[n],1
1,31,M,55.0,3_3_3_2_0Y150.pct,150.0,5975.0,[n],[b],0
1,31,M,56.0,2_4_4_2_0Y50.pct,50.0,1216.0,[b],[b],1
1,31,M,57.0,R2_4_4_2_0Y150.pct,150.0,1487.0,[n],[n],1
1,31,M,58.0,R3_4_3_2_90Y100.pct,100.0,2208.0,[n],[n],1
1,31,M,59.0,2_3_4_2_90Y150.pct,150.0,2007.0,[b],[b],1
1,31,M,60.0,3_4_3_2_90Y100.pct,100.0,1594.0,[n],[b],0
1,31,M,61.0,2_4_4_3_90Y0.pct,0.0,854.0,[b],[b],1
1,31,M,62.0,R2_4_4_2_180Y0.pct,0.0,1791.0,[n],[n],1
1,31,M,63.0,R2_4_4_3_90Y50.pct,50.0,2273.0,[n],[n],1
1,31,M,64.0,2_4_4_3_90Y50.pct,50.0,1992.0,[b],[b],1
1,31,M,65.0,R2_4_4_2_180Y150.pct,150.0,2413.0,[n],[n],1
1,31,M,66.0,3_3_3_3_90Y0.pct,0.0,1423.0,[b],[b],1
1,31,M,67.0,3_3_3_3_180Y150.pct,150.0,3209.0,[b],[b],1
1,31,M,68.0,R3_3_3_3_90Y0.pct,0.0,1435.0,[n],[n],1
1,31,M,69.0,R3_3_3_2_0Y50.pct,50.0,2213.0,[n],[n],1
1,31,M,70.0,2_4_4_2_180Y50.pct,50.0,2598.0,[b],[b],1
1,31,M,71.0,2_4_4_2_0Y100.pct,100.0,2018.0,[b],[b],1
1,31,M,72.0,R3_3_3_2_0Y100.pct,100.0,6237.0,[b],[n],0
1,31,M,73.0,2_3_4_2_90Y100.pct,100.0,2944.0,[b],[b],1
1,31,M,74.0,R3_3_3_3_180Y100.pct,100.0,1448.0,[n],[n],1
1,31,M,75.0,3_3_3_3_90Y150.pct,150.0,3868.0,[b],[b],1
1,31,M,76.0,R3_3_4_2_0Y0.pct,0.0,4086.0,[n],[n],1
1,31,M,77.0,3_3_3_2_0Y0.pct,0.0,1364.0,[b],[b],1
1,31,M,78.0,3_3_3_2_0Y50.pct,50.0,2642.0,[n],[b],0
1,31,M,79.0,R3_3_3_3_180Y50.pct,50.0,2136.0,[n],[n],1
1,31,M,80.0,R3_3_3_3_90Y150.pct,150.0,2775.0,[n],[n],1
