subject_num,gender,angle,time,response,expected_answer,correct,false_positive,false_negative,source,axis,axis_difficulty,num_of_repeats,encoding_time,landmarking_time,rotation_time,decision_time
1,male,0.0,1.355,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,150.0,2.079,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,150.0,1.834,same,same,1,0,0,gk,Y,0.0,,,,,
1,male,100.0,4.78,same,same,1,0,0,gk,Y,0.0,,,,,
1,male,50.0,1.685,same,same,1,0,0,gk,Y,0.0,,,,,
1,male,50.0,1.237,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,100.0,2.961,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,0.0,1.275,same,same,1,0,0,gk,Y,0.0,,,,,
1,male,150.0,4.716,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,150.0,3.794,different,same,0,0,1,gk,Y,0.0,,,,,
1,male,50.0,2.238,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,0.0,1.524,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,0.0,0.964,same,same,1,0,0,gk,Y,0.0,,,,,
1,male,100.0,3.77,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,100.0,2.75,same,same,1,0,0,gk,Y,0.0,,,,,
1,male,50.0,1.226,same,same,1,0,0,gk,Y,0.0,,,,,
1,male,100.0,1.789,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,150.0,1.384,same,same,1,0,0,gk,Y,0.0,,,,,
1,male,50.0,2.548,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,50.0,1.588,same,same,1,0,0,gk,Y,0.0,,,,,
1,male,100.0,2.114,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,0.0,2.158,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,0.0,1.096,same,same,1,0,0,gk,Y,0.0,,,,,
1,male,150.0,3.829,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,150.0,4.725,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,50.0,3.211,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,50.0,1.541,same,same,1,0,0,gk,Y,0.0,,,,,
1,male,100.0,3.219,same,same,1,0,0,gk,Y,0.0,,,,,
1,male,0.0,1.421,same,same,1,0,0,gk,Y,0.0,,,,,
1,male,0.0,1.308,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,150.0,3.781,same,same,1,0,0,gk,Y,0.0,,,,,
1,male,100.0,2.665,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,50.0,1.831,different,same,0,0,1,gk,Y,0.0,,,,,
1,male,100.0,4.636,same,same,1,0,0,gk,Y,0.0,,,,,
1,male,150.0,3.149,same,same,1,0,0,gk,Y,0.0,,,,,
1,male,0.0,1.202,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,100.0,2.735,same,same,1,0,0,gk,Y,0.0,,,,,
1,male,150.0,3.211,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,0.0,1.406,same,same,1,0,0,gk,Y,0.0,,,,,
1,male,50.0,1.383,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,150.0,2.668,same,same,1,0,0,gk,Y,0.0,,,,,
1,male,0.0,2.203,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,100.0,5.983,different,same,0,0,1,gk,Y,0.0,,,,,
1,male,150.0,2.75,same,different,0,1,0,gk,Y,0.0,,,,,
1,male,50.0,2.672,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,100.0,1.975,different,different,1,0,0,gk,Y,0.0,,,,,
1,male,0.0,1.081,same,same,1,0,0,gk,Y,0.0,,,,,
1,male,50.0,2.144,different,same,0,0,1,gk,Y,0.0,,,,,
1,male,100.0,2.113,different,different,1,0,0,gk,Y,0.0,,,,,
