subject_num,gender,angle,time,response,expected_answer,correct,false_positive,false_negative,source,axis,axis_difficulty,num_of_repeats,encoding_time,landmarking_time,rotation_time,decision_time
1,male,150,2.729,same,same,1,0,0,model,[0 1 0],0.0,0,0.462,0.182,1.34,0.746
1,male,150,4.928,different,same,0,0,1,model,[0 1 0],0.0,2,0.462,0.274,2.99,1.102
1,male,100,4.726,different,different,1,0,0,model,[0 1 0],0.0,2,0.462,0.164,3.44,0.561
1,male,0,1.414,different,different,1,0,0,model,[0 1 0],0.0,2,0.462,0.1,0.14,0.612
1,male,150,4.179,different,same,0,0,1,model,[0 1 0],0.0,2,0.462,0.195,2.84,0.583
1,male,100,2.039,same,same,1,0,0,model,[0 1 0],0.0,0,0.462,0.2,0.59,0.788
1,male,50,2.361,same,same,1,0,0,model,[0 1 0],0.0,1,0.462,0.159,0.74,0.951
1,male,150,3.421,different,different,1,0,0,model,[0 1 0],0.0,2,0.462,0.233,1.64,0.986
1,male,100,3.105,different,different,1,0,0,model,[0 1 0],0.0,2,0.462,0.185,1.49,0.869
1,male,50,1.903,same,same,1,0,0,model,[0 1 0],0.0,0,0.462,0.158,0.59,0.694
1,male,150,3.891,same,different,0,1,0,model,[0 1 0],0.0,2,0.462,0.238,2.09,1.001
1,male,100,3.197,different,different,1,0,0,model,[0 1 0],0.0,2,0.462,0.246,1.34,1.05
1,male,100,4.821,different,different,1,0,0,model,[0 1 0],0.0,2,0.462,0.202,3.14,0.918
1,male,150,2.572,same,same,1,0,0,model,[0 1 0],0.0,0,0.462,0.272,0.89,0.949
1,male,150,3.549,same,different,0,1,0,model,[0 1 0],0.0,2,0.462,0.227,1.79,0.97
1,male,0,1.264,same,same,1,0,0,model,[0 1 0],0.0,0,0.462,0.1,0.14,0.562
1,male,150,3.215,same,same,1,0,0,model,[0 1 0],0.0,0,0.462,0.285,1.49,0.979
1,male,0,1.414,different,different,1,0,0,model,[0 1 0],0.0,2,0.462,0.1,0.14,0.612
1,male,150,2.625,same,same,1,0,0,model,[0 1 0],0.0,0,0.462,0.288,0.89,0.986
1,male,50,1.866,same,same,1,0,0,model,[0 1 0],0.0,0,0.462,0.147,0.59,0.668
1,male,0,1.414,same,different,0,1,0,model,[0 1 0],0.0,2,0.462,0.1,0.14,0.612
1,male,150,3.306,same,same,1,0,0,model,[0 1 0],0.0,0,0.462,0.267,1.64,0.938
1,male,150,3.449,different,different,1,0,0,model,[0 1 0],0.0,2,0.462,0.241,1.64,1.008
1,male,50,2.506,same,same,1,0,0,model,[0 1 0],0.0,1,0.462,0.133,0.89,0.972
1,male,100,2.612,same,same,1,0,0,model,[0 1 0],0.0,1,0.462,0.185,1.19,0.726
1,male,100,5.271,different,different,1,0,0,model,[0 1 0],0.0,2,0.462,0.218,3.89,0.601
1,male,0,1.414,same,different,0,1,0,model,[0 1 0],0.0,2,0.462,0.1,0.14,0.612
1,male,100,2.691,same,different,0,1,0,model,[0 1 0],0.0,2,0.462,0.194,1.04,0.895
1,male,100,2.4,same,same,1,0,0,model,[0 1 0],0.0,0,0.462,0.219,0.89,0.83
1,male,50,2.679,different,different,1,0,0,model,[0 1 0],0.0,2,0.462,0.151,1.19,0.777
1,male,150,2.233,same,same,1,0,0,model,[0 1 0],0.0,0,0.462,0.214,0.74,0.818
1,male,100,3.931,different,same,0,0,1,model,[0 1 0],0.0,2,0.462,0.204,2.24,0.925
1,male,0,1.264,same,same,1,0,0,model,[0 1 0],0.0,0,0.462,0.1,0.14,0.562
1,male,150,3.623,different,different,1,0,0,model,[0 1 0],0.0,2,0.462,0.247,1.79,1.025
1,male,0,1.264,same,same,1,0,0,model,[0 1 0],0.0,0,0.462,0.1,0.14,0.562
1,male,0,1.414,different,different,1,0,0,model,[0 1 0],0.0,2,0.462,0.1,0.14,0.612
1,male,50,2.903,different,different,1,0,0,model,[0 1 0],0.0,2,0.462,0.133,1.49,0.719
1,male,50,2.546,different,different,1,0,0,model,[0 1 0],0.0,2,0.462,0.155,1.04,0.79
1,male,100,2.117,same,same,1,0,0,model,[0 1 0],0.0,0,0.462,0.178,0.74,0.738
