subject_num,gender,angle,time,response,expected_answer,correct,false_positive,false_negative,source,axis,axis_difficulty,num_of_repeats,encoding_time,landmarking_time,rotation_time,decision_time
1,male,135,2.587,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.205,0.884,0.947
1,male,0,1.646,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.1,0.134,0.761
1,male,45,3.175,different,same,0,0,1,model,[0 1 0],0.0,2,0.551,0.147,1.184,1.193
1,male,180,6.685,same,same,1,0,0,model,[0 0 1],0.0,2,0.551,0.294,4.934,0.806
1,male,45,1.923,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.139,0.434,0.799
1,male,135,3.102,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.222,1.334,0.894
1,male,90,3.961,same,same,1,0,0,model,[0 1 0],0.0,2,0.551,0.194,2.384,0.732
1,male,180,5.011,same,different,0,1,0,model,[0 0 1],0.0,2,0.551,0.28,3.284,0.796
1,male,135,2.605,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.256,0.734,1.063
1,male,90,2.968,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.206,1.034,1.077
1,male,45,2.965,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.139,1.484,0.69
1,male,0,1.496,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.1,0.134,0.711
1,male,45,3.228,different,same,0,0,1,model,[0 1 0],0.0,2,0.551,0.156,1.184,1.238
1,male,180,4.381,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.317,2.084,1.329
1,male,0,1.646,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.1,0.134,0.761
1,male,135,4.099,same,different,0,1,0,model,[0 0 1],0.0,2,0.551,0.229,2.084,1.134
1,male,135,3.251,same,same,1,0,0,model,[0 0 1],0.0,1,0.551,0.246,1.484,0.92
1,male,135,4.48,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.173,2.684,0.972
1,male,135,3.387,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.2,1.484,1.051
1,male,180,3.331,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.295,1.334,1.15
1,male,90,4.708,different,same,0,0,1,model,[0 0 1],0.0,2,0.551,0.191,2.834,1.033
1,male,135,6.04,different,same,0,0,1,model,[0 1 0],0.0,2,0.551,0.268,4.334,0.787
1,male,45,2.842,different,same,0,0,1,model,[0 0 1],0.0,2,0.551,0.134,1.184,0.873
1,male,135,3.3,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.24,1.484,1.025
1,male,0,1.646,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.1,0.134,0.761
1,male,90,2.196,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.177,0.584,0.884
1,male,0,1.496,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.1,0.134,0.711
1,male,0,1.646,same,different,0,1,0,model,[0 1 0],0.0,2,0.551,0.1,0.134,0.761
1,male,180,4.671,different,same,0,0,1,model,[0 0 1],0.0,2,0.551,0.343,2.834,0.843
1,male,45,2.588,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.144,0.884,0.909
1,male,45,3.597,different,same,0,0,1,model,[0 1 0],0.0,2,0.551,0.158,2.084,0.704
1,male,0,1.496,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.1,0.134,0.711
1,male,135,3.494,same,different,0,1,0,model,[0 1 0],0.0,2,0.551,0.228,1.484,1.131
1,male,90,2.768,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.209,1.034,0.874
1,male,180,3.635,same,same,1,0,0,model,[0 0 1],0.0,0,0.551,0.343,1.484,1.257
1,male,135,3.374,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.202,1.784,0.737
1,male,0,1.496,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.1,0.134,0.711
1,male,135,3.905,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.22,2.234,0.8
1,male,45,2.497,same,same,1,0,0,model,[0 1 0],0.0,1,0.551,0.158,0.884,0.854
1,male,135,3.753,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.247,2.084,0.771
1,male,0,1.646,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.1,0.134,0.761
1,male,180,5.941,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.297,4.184,0.809
1,male,135,3.661,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.271,1.484,1.255
1,male,90,5.803,same,same,1,0,0,model,[0 0 1],0.0,2,0.551,0.183,4.184,0.785
1,male,45,2.678,same,different,0,1,0,model,[0 1 0],0.0,2,0.551,0.131,1.034,0.863
1,male,180,4.982,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.276,2.834,1.222
1,male,0,1.646,different,different,1,0,0,model,[0 0 1],0.0,2,0.551,0.1,0.134,0.761
1,male,135,2.832,same,same,1,0,0,model,[0 1 0],0.0,0,0.551,0.28,0.884,1.117
1,male,0,1.646,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.1,0.134,0.761
1,male,135,5.791,same,same,1,0,0,model,[0 0 1],0.0,2,0.551,0.212,4.184,0.744
1,male,90,3.836,different,different,1,0,0,model,[0 1 0],0.0,2,0.551,0.197,1.934,1.053
